DISASTER EVENT NO.,DISASTER TYPE,YEAR (DATE OF OCCURENCE),ACTUAL DATE OF OCCURENCE,MONTH (DATE OF OCCURENCE),QUARTER (DATE OF OCCURENCE),HYDROMETEOROLOGICAL EVENTS / GENERAL DISASTER EVENTS,NAME OF DISASTER,PROVINCE AFFECTED,MUNICIPALITY AFFECTED,COMMODITY,NUMBER OF FARMERS AFFECTED,Totally Damaged (AREA AFFECTED (HA.) / MORTALITY HEADS / NO. OF UNITS AFFECTED),Partially Damaged (AREA AFFECTED (HA.) / MORTALITY HEADS / NO. OF UNITS AFFECTED),TOTAL (AREA AFFECTED (HA.) / MORTALITY HEADS / NO. OF UNITS AFFECTED),Total Value (Based on Cost of Production / Inputs),Volume (MT) - Based on Farm Gate Price ,Total Value - Based on Farm Gate Price ,GRAND TOTAL,source_row_number,error_reason
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Valladolid,01 - Rice,,,338.02,338.02,549487.41,109.09,1745408,,929,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Enrique B. Magalona,01 - Rice,,0.65,20.15,20.8,41400,15.85,253600,,930,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,City of San Carlos,01 - Rice,,,30.25,30.25,,108.34,1733400,,931,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Hinoba-an,01 - Rice,,,113,113,,133.8,2408400,,932,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,City of Victorias,01 - Rice,,,69.95,69.95,308610,137.2,2332400,,933,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Cauayan,02 - Corn,,,5.6,5.6,,4.2,63000,,935,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,City of Himamaylan,02 - Corn,,1,,1,,3,45000,,936,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Cadiz,02 - Corn,,1,,1,12000,,,,937,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Hinigaran,02 - Corn,,,0.3,0.3,1350,,,,938,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,City of Sipalay,03 - HVC,,,15000,15000,,22.5,337500,-,939,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,City of Himamaylan,03 - HVC,,75,50,125,,6,65000,,940,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,City of Victorias,03 - HVC,,175,,175,,7,105000,,941,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Cadiz,03 - HVC,,,124.79,124.79,,82.06,1399448,,942,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Hinigaran,03 - HVC,,4.85,4.8,9.65,,60.01,1280150,,943,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Valladolid,03 - HVC,,,5,5,,10.14,220900,,944,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Pulupandan,03 - HVC,,7.89,2.65,10.54,,81.14,1815725,,945,Missing or zero Grand Total for PHP loss.
30,FLOODING / TYPHOON / DRY SPELL,2017,"December 31, 2017 to January 1, 2018",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TD Agaton 2017 induced Flooding,CAPIZ,Tapaz,01 - Rice,61,4.8,47.62,52.419999999999995,0,0,0,0,1129,Missing or zero Grand Total for PHP loss.
30,FLOODING / TYPHOON / DRY SPELL,2017,"December 31, 2017 to January 1, 2018",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TD Agaton 2017 induced Flooding,CAPIZ,Ivisan,01 - Rice,79,0,58,58,0,0,0,0,1132,Missing or zero Grand Total for PHP loss.
30,FLOODING / TYPHOON / DRY SPELL,2017,"December 31, 2017 to January 1, 2018",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TD Agaton 2017 induced Flooding,CAPIZ,Dao,01 - Rice,3165,2715,0,2715,0,0,0,0,1134,Missing or zero Grand Total for PHP loss.
30,FLOODING / TYPHOON / DRY SPELL,2017,"December 31, 2017 to January 1, 2018",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TD Agaton 2017 induced Flooding,CAPIZ,Ma-ayon,01 - Rice,1290,1135,487,1622,0,0,0,0,1139,Missing or zero Grand Total for PHP loss.
43,FLOODING / TYPHOON / DRY SPELL,2019,"December 24-26,2019",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Ursula 2019 induced Flooding,GUIMARAS,,05 - Coconut,,,,,,,,0,1579,Missing or zero Grand Total for PHP loss.
43,FLOODING / TYPHOON / DRY SPELL,2019,"December 24-26,2019",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Ursula 2019 induced Flooding,NEGROS OCCIDENTAL,Don Salvador Benedicto,05 - Coconut,,,,,,,,,1657,Missing or zero Grand Total for PHP loss.
43,FLOODING / TYPHOON / DRY SPELL,2019,"December 24-26,2019",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Ursula 2019 induced Flooding,NEGROS OCCIDENTAL,Cadiz,05 - Coconut,,,,,,,,,1661,Missing or zero Grand Total for PHP loss.
43,FLOODING / TYPHOON / DRY SPELL,2019,"December 24-26,2019",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Ursula 2019 induced Flooding,NEGROS OCCIDENTAL,La Castellana,05 - Coconut,,,,,,,,,1673,Missing or zero Grand Total for PHP loss.
44,FLOODING / TYPHOON / DRY SPELL,2020,"August 8-10,2020",(08) AUGUST,3RD QUARTER,SOUTHWEST MONSOON,Enhanced Southwest Monsoon,ANTIQUE,Tibiao,01 - Rice,14,0,8.05,8.05,0,4.03,52325,"52, 325.00",1679,Missing or zero Grand Total for PHP loss.
44,FLOODING / TYPHOON / DRY SPELL,2020,"August 8-10,2020",(08) AUGUST,3RD QUARTER,SOUTHWEST MONSOON,Enhanced Southwest Monsoon,ANTIQUE,Hamtic,01 - Rice,37,0,28.12,28.12,0,62.06,744672,"644, 672.00",1680,Missing or zero Grand Total for PHP loss.
45,FLOODING / TYPHOON / DRY SPELL,2020,2020-09-14 00:00:00,(09) SEPTEMBER,3RD QUARTER,TROPICAL CYCLONE,TS Leon 2020 induced Flooding,ILOILO,Dingle,01 - Rice,226,1.75,197.5,199.5,43750,309.31,4021030,4064780,1704,Area inconsistency: Partial(197.5) + Totally(1.75) != Total(199.5).
47,FLOODING / TYPHOON / DRY SPELL,2020,"October 23-26,2020",(10) OCTOBER,4TH QUARTER,TROPICAL CYCLONE,TY Quinta 2020 induced Flooding,ILOILO,Dingle,01 - Rice,452,201.35,168.85,210.1,4112251.31,0,0,4112251.31,1745,Area inconsistency: Partial(168.85) + Totally(201.35) != Total(210.1).
47,FLOODING / TYPHOON / DRY SPELL,2020,"October 23-26,2020",(10) OCTOBER,4TH QUARTER,TROPICAL CYCLONE,TY Quinta 2020 induced Flooding,NEGROS OCCIDENTAL,Hinigaran,01 - Rice,325,5.8,0,283.37,3307535,15.39,200096,3507631,1785,Area inconsistency: Partial(0.0) + Totally(5.8) != Total(283.37).
48,FLOODING / TYPHOON / DRY SPELL,2020,2020-12-02 00:00:00,(12) DECEMBER,4TH QUARTER,ITCZ,Frontal System (Tail-End) induced Flooding,ILOILO,Banate,01 - Rice,69,0,77,80.71,209023.9,142.07,1846910,2055933.9,1788,Area inconsistency: Partial(77.0) + Totally(0.0) != Total(80.71).
49,FLOODING / TYPHOON / DRY SPELL,2021,"January 8-18, 2021",(01) JANUARY,1ST QUARTER,ITCZ,Frontal System (Tail-end) induced Flash Flooding,CAPIZ,Panitan,02 - Corn,0,0,40,40,600000,0,0,,1824,Missing or zero Grand Total for PHP loss.
49,FLOODING / TYPHOON / DRY SPELL,2021,"January 8-18, 2021",(01) JANUARY,1ST QUARTER,ITCZ,Frontal System (Tail-end) induced Flash Flooding,NEGROS OCCIDENTAL,City of Talisay,09 - Fisheries (Aquaculture),0,0,0,0,0,0,0,0,1846,Missing or zero Grand Total for PHP loss.
49,FLOODING / TYPHOON / DRY SPELL,2021,"January 8-18, 2021",(01) JANUARY,1ST QUARTER,ITCZ,Frontal System (Tail-end) induced Flash Flooding,NEGROS OCCIDENTAL,City of Victorias,09 - Fisheries (Aquaculture),0,0,0,0,0,0,0,0,1849,Missing or zero Grand Total for PHP loss.
56,FLOODING / TYPHOON / DRY SPELL,2021,July-August 2021,(07) JULY,3RD QUARTER,DRY SPELL,Localized Dry Spell,ILOILO,Janiuay,01 - Rice,1814,1,1391.67,1391.67,1800681.5,1894.8,26527188.8,28327870.3,1938,Area inconsistency: Partial(1391.67) + Totally(1.0) != Total(1391.67).
57,FLOODING / TYPHOON / DRY SPELL,2021,"September 6-8, 2021",(09) SEPTEMBER,3RD QUARTER,TROPICAL CYCLONE,TY Jolina 2021 induced Flooding,AKLAN,Malay,01 - Rice,18,2.43,6.52,5.13,0,21.1,295394.4,295394.4,1965,Area inconsistency: Partial(6.52) + Totally(2.43) != Total(5.13).
61,FLOODING / TYPHOON / DRY SPELL,2021,"December 16-18, 2021",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Odette 2021 induced Flooding,AKLAN,Tangalan,05 - Coconut,,0,0.72027972027972,0.72027972027972,0,0,0,0,2408,Missing or zero Grand Total for PHP loss.
61,FLOODING / TYPHOON / DRY SPELL,2021,"December 16-18, 2021",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Odette 2021 induced Flooding,ANTIQUE,San Jose,05 - Coconut,,0,1.3986013986014,1.3986013986014,0,0,0,0,2414,Missing or zero Grand Total for PHP loss.
61,FLOODING / TYPHOON / DRY SPELL,2021,"December 16-18, 2021",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Odette 2021 induced Flooding,ANTIQUE,Sibalom,05 - Coconut,,0,1.3986013986014,1.3986013986014,0,0,0,0,2416,Missing or zero Grand Total for PHP loss.
61,FLOODING / TYPHOON / DRY SPELL,2021,"December 16-18, 2021",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Odette 2021 induced Flooding,ANTIQUE,Tibiao,05 - Coconut,,0,0.755244755244755,0.755244755244755,0,0,0,0,2417,Missing or zero Grand Total for PHP loss.
61,FLOODING / TYPHOON / DRY SPELL,2021,"December 16-18, 2021",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Odette 2021 induced Flooding,ANTIQUE,Tobias Fornier,05 - Coconut,,0,1.74825174825175,1.74825174825175,0,0,0,0,2418,Missing or zero Grand Total for PHP loss.
61,FLOODING / TYPHOON / DRY SPELL,2021,"December 16-18, 2021",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Odette 2021 induced Flooding,ILOILO,Estancia,09 - Fisheries (Capture Fisheries),103,0,0,103,,,,0,2472,Missing or zero Grand Total for PHP loss.
62,FLOODING / TYPHOON / DRY SPELL,2022,"April 9-13, 2022",(04) APRIL,2ND QUARTER,TROPICAL CYCLONE,TD Agaton 2022 induced Flooding,AKLAN,Kalibo,09 - Fisheries,20,0,0,0,0,0,0,0,2590,Missing or zero Grand Total for PHP loss.
62,FLOODING / TYPHOON / DRY SPELL,2022,"April 9-13, 2022",(04) APRIL,2ND QUARTER,TROPICAL CYCLONE,TD Agaton 2022 induced Flooding,ILOILO,San Dionisio,09 - Fisheries,9,0,0,121.6,0,0,0,0,2817,Missing or zero Grand Total for PHP loss.
65,DISEASE,2022,"October-December, 2022",(10) OCTOBER,3RD QUARTER,SWINE FEVER,African Swine Fever (Depopulated),GUIMARAS,Buenavista,08 - Livestock and Poultry,10,0,0,21,0,0,0,0,2883,Missing or zero Grand Total for PHP loss.
65,DISEASE,2023,"January 1 - November 10, 2023",(01) JANUARY,1ST QUARTER,SWINE FEVER,African Swine Fever (Depopulated),GUIMARAS,Buenavista,08 - Livestock and Poultry,10,,,117,0,0,0,0,2948,Missing or zero Grand Total for PHP loss.
66,FLOODING / TYPHOON / DRY SPELL,2022,"October 26-30, 2022",(10) OCTOBER,4TH QUARTER,TROPICAL CYCLONE,STS Paeng 2022 (Trough) induced Flooding,GUIMARAS,Buenavista,03 - HVC,15,0.03,0.24,0.26,1680,3.2676,157625,159305,3199,Area inconsistency: Partial(0.24) + Totally(0.03) != Total(0.26).
66,FLOODING / TYPHOON / DRY SPELL,2022,"October 26-30, 2022",(10) OCTOBER,4TH QUARTER,TROPICAL CYCLONE,STS Paeng 2022 (Trough) induced Flooding,NEGROS OCCIDENTAL,Calatrava,09 - Fisheries (Aquaculture),1,,,,,,,,3407,Missing or zero Grand Total for PHP loss.
66,FLOODING / TYPHOON / DRY SPELL,2022,"October 26-30, 2022",(10) OCTOBER,4TH QUARTER,TROPICAL CYCLONE,STS Paeng 2022 (Trough) induced Flooding,NEGROS OCCIDENTAL,San Enrique,09 - Fisheries (Aquaculture),4,,,,,,,,3416,Missing or zero Grand Total for PHP loss.
66,FLOODING / TYPHOON / DRY SPELL,2022,"October 26-30, 2022",(10) OCTOBER,4TH QUARTER,TROPICAL CYCLONE,STS Paeng 2022 (Trough) induced Flooding,ILOILO,Concepcion,09 - Fisheries (Capture Fisheries),10,,,10,,,,,3462,Missing or zero Grand Total for PHP loss.
66,FLOODING / TYPHOON / DRY SPELL,2022,"October 26-30, 2022",(10) OCTOBER,4TH QUARTER,TROPICAL CYCLONE,STS Paeng 2022 (Trough) induced Flooding,NEGROS OCCIDENTAL,Hinoba-an,09 - Fisheries (Capture Fisheries),44,,,44,,,,,3481,Missing or zero Grand Total for PHP loss.
66,FLOODING / TYPHOON / DRY SPELL,2022,"October 26-30, 2022",(10) OCTOBER,4TH QUARTER,TROPICAL CYCLONE,STS Paeng 2022 (Trough) induced Flooding,NEGROS OCCIDENTAL,San Enrique,09 - Fisheries (Capture Fisheries),5,,,5,,,,,3487,Missing or zero Grand Total for PHP loss.
73,FLOODING / TYPHOON / DRY SPELL,2023,"July 24-26, 2023",(07) JULY,3RD QUARTER,SOUTHWEST MONSOON,Southwest Monsoon/TY Egay 2023 (Trough) induced Flooding,ILOILO,City of Iloilo,03 - HVC,98,6.91,0.49,7.39,370545,14.52,333750,704295,3690,Area inconsistency: Partial(0.49) + Totally(6.91) != Total(7.39).
75,FLOODING / TYPHOON / DRY SPELL,2023,"October 5, 2023-June 5, 2024",(10) OCTOBER,4TH QUARTER,DRY SPELL,Localized Dry Spell,CAPIZ,Dumalag,01 - Rice,576,325,171,496.85,-,1850.22,42554968,42554968,3995,Area inconsistency: Partial(171.0) + Totally(325.0) != Total(496.85).
75,FLOODING / TYPHOON / DRY SPELL,2023,"October 5, 2023-June 5, 2024",(10) OCTOBER,4TH QUARTER,DRY SPELL,Localized Dry Spell,AKLAN,BURUANGA,09 - Fisheries (Aquaculture),25,,,1.34,,384,,0,4206,Missing or zero Grand Total for PHP loss.
75,FLOODING / TYPHOON / DRY SPELL,2023,"October 5, 2023-June 5, 2024",(10) OCTOBER,4TH QUARTER,DRY SPELL,Localized Dry Spell,ANTIQUE,LAUA-AN,09 - Fisheries (Aquaculture),96,,,,,,,,4213,Missing or zero Grand Total for PHP loss.
75,FLOODING / TYPHOON / DRY SPELL,2023,"October 5, 2023-June 5, 2024",(10) OCTOBER,4TH QUARTER,DRY SPELL,Localized Dry Spell,GUIMARAS,Nueva Valencia,09 - Fisheries (Aquaculture),6,,,9.25,,86565,,0,4227,Missing or zero Grand Total for PHP loss.
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,La Castellana,01 - Rice,294,39.79,150.06,189.85,1449689.5,312.66,7191078.34,8640767.84,4260,"Unparseable date: 'June 3, 2024-Present'"
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,La Castellana,02 - Corn,129,24.35,15.95,45.34,999360.71,-,-,999360.71,4261,"Unparseable date: 'June 3, 2024-Present'; Area inconsistency: Partial(15.95) + Totally(24.35) != Total(45.34)."
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,City of La Carlota,02 - Corn,21,2.52,-,2.52,50400,-,-,50400,4262,"Unparseable date: 'June 3, 2024-Present'"
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,La Castellana,03 - HVC,1138,195.46,730.38,925.84,2917200,3595.02,177849315,180766515,4263,"Unparseable date: 'June 3, 2024-Present'"
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,City of Bago,03 - HVC,137,-,94,94,4500,500.88,14257575,14262075,4264,"Unparseable date: 'June 3, 2024-Present'"
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,City of La Carlota,03 - HVC,429,-,197.4,197.4,2498000,104.44,5955600,8453600,4265,"Unparseable date: 'June 3, 2024-Present'"
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,La Castellana,04 - Cassava,22,-,17.93,17.93,152500,19.26,674100,826600,4266,"Unparseable date: 'June 3, 2024-Present'"
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,City of Bago,04 - Cassava,2,-,1.1,1.1,1500,3,45000,46500,4267,"Unparseable date: 'June 3, 2024-Present'"
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,City of La Carlota,04 - Cassava,17,-,8,8,-,9.6,144000,144000,4268,"Unparseable date: 'June 3, 2024-Present'"
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,City of Bago,08 - Livestock and Poultry,152,3580,,3580,,28100.6,9853448.9,9853448.9,4269,"Unparseable date: 'June 3, 2024-Present'"
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,City of La Carlota,08 - Livestock and Poultry,3,21,,21,,560.9,214350.2,214350.2,4270,"Unparseable date: 'June 3, 2024-Present'"
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,La Castellana,08 - Livestock and Poultry,1269,12764,,12764,,48719.3,14490181.65,14490181.65,4271,"Unparseable date: 'June 3, 2024-Present'"
78,KANLAON,2024,"June 3, 2024-Present",(06) JUNE,2nd QUARTER,VOLCANIC ACTIVITIES,Mt. Kanlaon,NEGROS OCCIDENTAL,La Castellana,09 - Fisheries (Aquaculture),35,13690,,13690,,8350,960750,960750,4272,"Unparseable date: 'June 3, 2024-Present'"
81,PEST INFESTATION,2024,,(08) AUGUST,3rd Quarter,INSECT INFESTATION,Hopper Burn,AKLAN,Malinao,01 - Rice,220,-,106.21,106.21,-,113.13,1923221.9,1923221.9,4370,Unparseable date: 'nan'
83,FLOODING / TYPHOON / DRY SPELL,2024,"September 13-20, 2024",(09) SEPTEMBER,3rd Quarter,SOUTHWEST MONSOON,Southwest Monsoon/STS Bebinca 2024 induced Flooding,AKLAN,Balete,04 - Cassava,2,-,0.2,0.15,812.5,0.6,7200,8012.5,4540,Area inconsistency: Partial(0.2) + Totally(0.0) != Total(0.15).
84,FLOODING / TYPHOON / DRY SPELL,2024,"October 21-28, 2024",(10) OCTOBER,4th Quarter,TROPICAL CYCLONE,STS Kristine 2024 induced Flooding,ILOILO,Miagao,01 - Rice,453,89.33,142.16,231.48,13428.57,715.43,14308625,14322053.57,4647,Area inconsistency: Partial(142.16) + Totally(89.33) != Total(231.48).
84,FLOODING / TYPHOON / DRY SPELL,2024,"October 21-28, 2024",(10) OCTOBER,4th Quarter,TROPICAL CYCLONE,STS Kristine 2024 induced Flooding,NEGROS OCCIDENTAL,Hinoba-an,09 - Fisheries ,6,,,,,,,0,4831,Missing or zero Grand Total for PHP loss.
84,FLOODING / TYPHOON / DRY SPELL,2024,"October 21-28, 2024",(10) OCTOBER,4th Quarter,TROPICAL CYCLONE,STS Kristine 2024 induced Flooding,NEGROS OCCIDENTAL,Manapla,09 - Fisheries ,8,,,,,,,0,4832,Missing or zero Grand Total for PHP loss.
84,FLOODING / TYPHOON / DRY SPELL,2024,"October 21-28, 2024",(10) OCTOBER,4th Quarter,TROPICAL CYCLONE,STS Kristine 2024 induced Flooding,NEGROS OCCIDENTAL,Pontevedra,09 - Fisheries ,3,,,,,,,0,4833,Missing or zero Grand Total for PHP loss.
84,FLOODING / TYPHOON / DRY SPELL,2024,"October 21-28, 2024",(10) OCTOBER,4th Quarter,TROPICAL CYCLONE,STS Kristine 2024 induced Flooding,NEGROS OCCIDENTAL,City of San Carlos,09 - Fisheries ,1,,,,,,,0,4836,Missing or zero Grand Total for PHP loss.
84,FLOODING / TYPHOON / DRY SPELL,2024,"October 21-28, 2024",(10) OCTOBER,4th Quarter,TROPICAL CYCLONE,STS Kristine 2024 induced Flooding,NEGROS OCCIDENTAL,Valladolid,09 - Fisheries ,7,,,,,,,0,4839,Missing or zero Grand Total for PHP loss.
90,FLOODING / TYPHOON / DRY SPELL,2025,"January 7-March 30, 2025",(01) JANUARY,1st Quarter,DRY SPELL,Localized Dry Spell,ILOILO,Tubungan,01 - Rice,896,96.11,276.78,289.58,408635.14,999.04,19980844,20389479.14,4919,Area inconsistency: Partial(276.78) + Totally(96.11) != Total(289.58).
95,FLOODING / TYPHOON / DRY SPELL,2025,"July 16- August 11, 2025",(07) July,3rd Quarter,TROPICAL CYCLONE,"CRISING, DANTE, EMONG, SOUTHWEST MONSOON (Tropical Depression)",Negros Occidental,Isabela,01 - Rice,383,100.13,97.8,197.92,9892.35,745.96,13427261.52,13437153.87,4972,Area inconsistency: Partial(97.8) + Totally(100.13) != Total(197.92).
95,FLOODING / TYPHOON / DRY SPELL,2025,"July 16- August 11, 2025",(07) July,3rd Quarter,TROPICAL CYCLONE,"CRISING, DANTE, EMONG, SOUTHWEST MONSOON (Tropical Depression)",Iloilo,Zarraga,01 - Rice,225,92.59,114.21,192.37,2475727.38,116.39,1454876.25,3930603.63,5003,Area inconsistency: Partial(114.21) + Totally(92.59) != Total(192.37).
95,FLOODING / TYPHOON / DRY SPELL,2025,"July 16- August 11, 2025",(07) July,3rd Quarter,TROPICAL CYCLONE,"CRISING, DANTE, EMONG, SOUTHWEST MONSOON (Tropical Depression)",Iloilo,Leganes,01 - Rice,140,9.4,36.95,51.6,423206,,,423206,5008,Area inconsistency: Partial(36.95) + Totally(9.4) != Total(51.6).
95,FLOODING / TYPHOON / DRY SPELL,2025,"July 16- August 11, 2025",(07) July,3rd Quarter,TROPICAL CYCLONE,"CRISING, DANTE, EMONG, SOUTHWEST MONSOON (Tropical Depression)",Iloilo,Zarraga,03 - HVC,26,0.6,1.21,1.8,7605,9.88,543295.2,550900.2,5091,Area inconsistency: Partial(1.21) + Totally(0.6) != Total(1.8).
